is_increase,age,Gender,Cellphone,Education_Level,Marital_Status,consume,Level,Total_Relationship_Count
0,45,M,3,High School,Married,$60K - $80K,Blue,5
0,49,F,5,Graduate,Single,Less than $40K,Blue,6
0,51,M,3,Graduate,Married,$80K - $120K,Blue,4
0,40,F,4,High School,Unknown,Less than $40K,Blue,3
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,5
0,44,M,2,Graduate,Married,$40K - $60K,Blue,3
0,51,M,4,Unknown,Married,$120K +,Gold,6
0,32,M,0,High School,Unknown,$60K - $80K,Silver,2
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,5
0,48,M,2,Graduate,Single,$80K - $120K,Blue,6
0,42,M,5,Uneducated,Unknown,$120K +,Blue,5
0,65,M,1,Unknown,Married,$40K - $60K,Blue,6
0,56,M,1,College,Single,$80K - $120K,Blue,3
0,35,M,3,Graduate,Unknown,$60K - $80K,Blue,5
0,57,F,2,Graduate,Married,Less than $40K,Blue,5
0,44,M,4,Unknown,Unknown,$80K - $120K,Blue,5
0,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,6
0,41,M,3,Unknown,Married,$80K - $120K,Blue,4
0,61,M,1,High School,Married,$40K - $60K,Blue,2
0,45,F,2,Graduate,Married,Unknown,Blue,6
0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,5
1,62,F,0,Graduate,Married,Less than $40K,Blue,2
0,41,M,3,High School,Married,$40K - $60K,Blue,4
0,47,F,4,Unknown,Single,Less than $40K,Blue,3
0,54,M,2,Unknown,Married,$80K - $120K,Blue,4
0,41,F,3,Graduate,Single,Less than $40K,Blue,6
0,59,M,1,High School,Unknown,$40K - $60K,Blue,4
0,63,M,1,Unknown,Married,$60K - $80K,Blue,3
0,44,F,3,Uneducated,Single,Unknown,Blue,5
0,47,M,4,High School,Married,$40K - $60K,Blue,6
0,53,M,3,Unknown,Married,$80K - $120K,Blue,3
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,2
0,41,M,4,Graduate,Married,$60K - $80K,Blue,4
0,53,F,2,College,Married,Less than $40K,Blue,5
0,58,M,0,Graduate,Married,$80K - $120K,Blue,6
0,55,F,1,College,Single,Less than $40K,Blue,4
0,55,F,3,Graduate,Married,Less than $40K,Blue,6
0,42,F,4,High School,Married,Less than $40K,Gold,2
0,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3
1,66,F,0,Doctorate,Married,Unknown,Blue,5
0,45,M,3,Graduate,Single,$80K - $120K,Blue,2
0,51,M,2,Unknown,Married,$40K - $60K,Blue,4
0,50,F,1,College,Single,$40K - $60K,Silver,3
0,49,M,3,High School,Married,$60K - $80K,Blue,5
0,38,F,4,Graduate,Single,Unknown,Blue,2
0,49,M,4,Uneducated,Single,$80K - $120K,Blue,3
0,56,M,2,Doctorate,Married,$60K - $80K,Blue,6
0,59,M,1,Doctorate,Married,$40K - $60K,Blue,3
0,46,M,3,High School,Married,$80K - $120K,Blue,4
0,52,M,1,College,Single,$80K - $120K,Blue,5
0,52,F,3,Unknown,Married,Less than $40K,Blue,6
1,54,F,1,Graduate,Married,Less than $40K,Blue,2
0,66,F,0,High School,Married,Less than $40K,Blue,3
0,49,M,2,Unknown,Married,$120K +,Blue,4
1,56,M,2,Graduate,Married,$120K +,Blue,1
0,49,F,4,Graduate,Unknown,Less than $40K,Blue,6
0,49,F,3,Graduate,Single,Less than $40K,Blue,2
0,56,M,2,Uneducated,Married,$40K - $60K,Blue,4
0,44,F,5,Graduate,Married,Unknown,Blue,4
0,42,M,2,High School,Single,$60K - $80K,Blue,4
0,55,M,3,Unknown,Married,$80K - $120K,Blue,4
1,48,M,2,Graduate,Married,$60K - $80K,Silver,2
0,39,M,1,High School,Divorced,$60K - $80K,Blue,5
