is_increase,age,Gender,Cellphone,Education_Level,Marital_Status,consume,Level,App
0,2,M,iPhone,1,Married,32,Blue,5
0,2,F,iPhone,2,Single,31,Blue,6
0,1,M,iPhone,2,Married,33,Blue,4
0,3,M,iPhone,1,Married,32,Blue,5
0,2,M,Android,2,Married,32,Blue,3
0,3,M,iPhone,1,Single,32,Blue,5
0,2,M,Android,2,Single,33,Blue,6
0,1,M,Android,2,Single,33,Blue,3
0,1,F,Android,2,Married,31,Blue,5
0,2,M,iPhone,3,Single,33,Blue,6
0,6,M,Android,1,Married,32,Blue,2
0,2,M,Android,3,Divorced,32,Blue,5
1,6,F,Android,2,Married,31,Blue,2
0,2,M,iPhone,1,Married,32,Blue,4
0,2,F,iPhone,2,Single,31,Blue,6
0,2,M,iPhone,1,Married,32,Blue,6
0,1,M,Android,1,Married,32,Blue,2
0,2,M,iPhone,2,Married,32,Blue,4
0,1,F,Android,2,Married,31,Blue,5
0,1,M,Android,2,Married,33,Blue,6
0,1,F,Android,2,Single,31,Blue,4
0,1,F,iPhone,2,Married,31,Blue,6
0,2,F,iPhone,1,Married,31,Gold,2
0,2,M,iPhone,2,Single,33,Blue,2
0,1,F,Android,2,Single,32,Silver,3
0,2,M,iPhone,1,Married,32,Blue,5
0,2,M,iPhone,1,Single,33,Blue,3
0,1,M,Android,3,Married,32,Blue,6
0,1,M,Android,3,Married,32,Blue,3
0,2,M,iPhone,1,Married,33,Blue,4
0,1,M,Android,2,Single,33,Blue,5
1,1,F,Android,2,Married,31,Blue,2
0,6,F,Android,1,Married,31,Blue,3
1,1,M,Android,2,Married,33,Blue,1
0,2,F,iPhone,2,Single,31,Blue,2
0,1,M,Android,1,Married,32,Blue,4
0,2,M,Android,1,Single,32,Blue,4
1,2,M,Android,2,Married,32,Silver,2
0,3,M,Android,1,Divorced,32,Blue,5
0,2,M,iPhone,3,Single,33,Blue,2
0,1,M,Android,1,Single,33,Blue,4
0,1,M,iPhone,1,Single,33,Silver,4
0,1,M,Android,2,Married,32,Blue,5
